TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,ENTIDAD,INCUMPLIMIENTO
MU—ECOS,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ROPA CABALLERO,C&A DE MEXICO S. DE R.L.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,ASFEIXAS  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MOTEL LUA- COMPA—IA HOTELERA PESCADORES  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MOTEL PEDRA- PEDRA  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ZAPATOS,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ROPA,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
RON,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MOTEL LOS ARCOS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,VIRREY BUFFETS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
MEZCAL,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
MEZCAL,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BEBIDAS,CADENA COMERCIAL OXXO  S. A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
SOPA DE PASTA,CADENA COMERCIAL OXXO  S. A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
GELATINAS,FARMACIA GUADALAJARA  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
PRODUCTO LACTEO COMBINADO,FARMACIA GUADALAJARA  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ATUN,ABARROTES - JOSE ALVARO NU—EZ GUZMAN,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
VELADORAS  Y CERAS,ABARROTES - JOSE ALVARO NU—EZ GUZMAN,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
FRIJOLES,ABARROTES - JOSE ALVARO NU—EZ GUZMAN,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ATUN,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
HUEVO,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,CADENA COMERCIAL OXXO SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CADENA COMERCIAL OXXO SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
WHISKY,CADENA COMERCIAL OXXO SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,CADENA COMERCIAL OXXO SA DE CV   (COLON),AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CADENA COMERCIAL OXXO SA DE CV   (COLON),AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA BOMBILLA VINOS SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA BOMBILLA VINOS SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
