ENTIDAD,MUNICIPIO,RAZON SOCIAL VISITADA
AGUASCALIENTES,AGUASCALIENTES,ABARROTES - JOSE ALVARO NU—EZ GUZMAN
AGUASCALIENTES,AGUASCALIENTES,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR
AGUASCALIENTES,AGUASCALIENTES,ASFEIXAS  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,AUTOZONE DE MEXICO S. DE R.L. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,BURANA
AGUASCALIENTES,AGUASCALIENTES,C&A DE MEXICO S. DE R.L.
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO  S. A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV   (COLON)
AGUASCALIENTES,AGUASCALIENTES,CADENA COMERCIAL OXXO SA DE CV  (MORELOS)
AGUASCALIENTES,AGUASCALIENTES,CAFEZZITO - CAFEZZITO AGUASCALIENTES S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA
AGUASCALIENTES,AGUASCALIENTES,CARNITAS SAN PANCHO - SIGELFREDO DURAN ESPARZA
AGUASCALIENTES,AGUASCALIENTES,CENTRO LLANTERO NACOZARI  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA
AGUASCALIENTES,AGUASCALIENTES,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO
AGUASCALIENTES,AGUASCALIENTES,COMPONENTES ELECTRONICOS DE AGUASCALIENTES  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,COMPRA Y VENTA DE ORO Y PLATA- GUADALUPE ALEJANDRA ROMO AGUIRRE
AGUASCALIENTES,AGUASCALIENTES,COPPEL SA DE CV
AGUASCALIENTES,AGUASCALIENTES,COSTCO DE MEXICO  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,CROWN BACCARA- ESTHER ZAMORA MENDOZA
AGUASCALIENTES,AGUASCALIENTES,CSP DE AGUASCALIENTES S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,DEL SOL- GRUPO COMERCIAL CONTROL  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,DISTRIBUIDORA JUGUETRON  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,DISTRIBUIDORA LIVERPOOL  SA DE CV
AGUASCALIENTES,AGUASCALIENTES,DPORTENIS- COMERCIAL DPORTENIS  S.A. DE C.V.
